id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category
28625954,Angel Dew,"Angel Dew by Biopharmacia. Daily Hygiene product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 100ML.",in stock,new,769.00 INR,https://www.indianskinstore.com/product/angel-dew,https://indianskinco.github.io/iss-catalog-images/p/28625954.jpg,Biopharmacia,Health & Beauty > Personal Care > Cosmetics > Bath & Body,
18886275,Cetaphil Baby Lotion 400ml 400ml,"Cetaphil Baby Lotion 400ml 400ml by Galderma India Pvt.Ltd.. Daily Hygiene product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 400ML.",in stock,new,950.00 INR,https://www.indianskinstore.com/product/cetaphil-baby-lotion-400ml-400ml,https://indianskinco.github.io/iss-catalog-images/p/18886275.jpg,Galderma India Pvt.Ltd.,Health & Beauty > Personal Care > Cosmetics > Bath & Body,
19308768,Elfri Lot 1,"Elfri Lot 1 by Torrent Pharmaceuticals Ltd.. Sun & Outdoor product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 0.",in stock,new,934.00 INR,https://www.indianskinstore.com/product/elfri-lot-1,https://indianskinco.github.io/iss-catalog-images/p/19308768.jpg,Torrent Pharmaceuticals Ltd.,Health & Beauty > Personal Care > Cosmetics > Sun Care,
22223828,Nmf-e Baby Moist Cream,"Nmf-e Baby Moist Cream by Palsons Drugs Private Limited.. Daily Hygiene product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 50GM.",in stock,new,249.00 INR,https://www.indianskinstore.com/product/nmf-e-baby-moist-cream,https://indianskinco.github.io/iss-catalog-images/p/22223828.jpg,Palsons Drugs Private Limited.,Health & Beauty > Personal Care > Cosmetics > Bath & Body,
19310708,Sanosan Baby Bath & Shamp 200ml,"Sanosan Baby Bath & Shamp 200ml by Glowderma Labs Pvt Ltd. Daily Hygiene product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 0.",in stock,new,650.00 INR,https://www.indianskinstore.com/product/sanosan-baby-bath-&-shamp-200ml,https://indianskinco.github.io/iss-catalog-images/p/19310708.jpg,Glowderma Labs Pvt Ltd,Health & Beauty > Personal Care > Cosmetics > Bath & Body,
20198892,Sanosan Baby Care Lotion 200ml,"Sanosan Baby Care Lotion 200ml by Glowderma Ltd. Daily Hygiene product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 200ML.",in stock,new,775.00 INR,https://www.indianskinstore.com/product/sanosan-baby-care--lotion-200ml,https://indianskinco.github.io/iss-catalog-images/p/20198892.jpg,Glowderma Ltd,Health & Beauty > Personal Care > Cosmetics > Bath & Body,
18872009,Tedibar Soap 75GM,"Tedibar Soap 75GM by Torrent Pharmaceuticals Ltd.. Daily Hygiene product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 1*75GM.",in stock,new,150.00 INR,https://www.indianskinstore.com/product/tedibar-soap-75gm,https://indianskinco.github.io/iss-catalog-images/p/18872009.jpg,Torrent Pharmaceuticals Ltd.,Health & Beauty > Personal Care > Cosmetics > Bath & Body,
19312671,Venusia Baby Loiton 300gm,"Venusia Baby Loiton 300gm by Dr Reddy'S. Daily Hygiene product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 0.",in stock,new,801.00 INR,https://www.indianskinstore.com/product/venusia-baby-loiton-300gm,https://indianskinco.github.io/iss-catalog-images/p/19312671.jpg,Dr Reddy'S,Health & Beauty > Personal Care > Cosmetics > Bath & Body,
19312690,Youngberry Lot 60ML,"Youngberry Lot 60ML by Not Available. Sun & Outdoor product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 0.",in stock,new,350.00 INR,https://www.indianskinstore.com/product/youngberry-lot-60ml,https://indianskinco.github.io/iss-catalog-images/p/19312690.jpg,Not Available,Health & Beauty > Personal Care > Cosmetics > Sun Care,
28997300,Adrina Anti Scar Gel,"Adrina Anti Scar Gel by Systopic Lab. P. Ltd.. Post-Procedure product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 0.",in stock,new,410.00 INR,https://www.indianskinstore.com/product/adrina-anti-scar-gel,https://indianskinco.github.io/iss-catalog-images/p/28997300.jpg,Systopic Lab. P. Ltd.,Health & Beauty > Personal Care > Cosmetics > Skin Care,
